"gvkey","tic","aco","acominc","ao","aoloch","aqc","bkvlps","caps","ch","chech","csho","cstk","dlc","dltt","dvt","ebit","epspi","nopi","re","rect","revt","siv","sstk","teq","tstk","wcap","restmt_at_mag","restmt_capx_mag","restmt_cogs_mag","restmt_epspi_mag","restmt_ni_mag","restmt_nopi_mag","restmt_reuna_mag","restmt_teq_mag","restmt_txt_mag","restmt_wcap_mag","restmt_xint_mag","cshtrd_m","prccd_m","prcod_m","trfd_m","trfm_m","pe_ratio","wc_ratio","de_ratio","roe_ratio","sp_rating_target","restmt_at_target","restmt_capx_target","restmt_cogs_target","restmt_dltt_target","restmt_epspi_target","restmt_ib_target","restmt_ni_target","restmt_nopi_target","restmt_reuna_target","restmt_teq_target","restmt_txt_target","restmt_wcap_target","restmt_xint_target","litigated","litigation_settlement"
1266,"ALCO",1.71175,0,8.15175,1.60575,0,16.554525,9.26775,12.54325,1.44725,7.345,7.3775,2.45675,49.17275,1.4995,14.04875,1.52,8.31,105.99825,4.438,101.808,4.12725,0,121.54525,1.09825,32.3765,0,0,0,0,0,-90.8155,0,0,0,0,0,12914.7381370826,30.4041889279438,30.3939811072056,1.5947151242355,1.80395057655894,20.0027558736472,0.667246824759747,0.548343106785333,0.0917538941258502,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
1722,"ADM",3144,-421.75,598.75,-423.75,141.25,27.1344,0,1518.25,410.75,658.25,7290.75,2019.75,6744.5,430.75,2341,2.51,630.25,11879.25,6118.75,80300,1622,437.5,17958,1284.5,12261.75,0.4315,0,0,0,0,-32.13925,0,0,0,0,-6.19925,3881285.08372405,34.6504755525787,34.6537090421969,1.33099111472204,2.08797885970175,13.8049703396728,1.15946980989291,1.21413854549504,0.0909204811226194,0.148275862068966,0.150943396226415,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.145390070921986,"0",NA
1728,"ARDNA",4.726,-0.00533333333333333,6.227,-0.758,0,23.8872666666667,5.30666666666667,33.101,0.952333333333334,3.101,1.11433333333333,0,1.228,23.582,29.09,5.79333333333333,0.549,71.492,5.29733333333333,428.528666666667,0,0,74.16,3.753,41.8116666666667,0,0,0,0,0,275.604,0,0,0,0,0,2123.63907603465,96.4652591915303,94.3189123676612,1.72882304546679,1.6680360579907,16.6510804128073,1.68960418039444,0.5866325062927,0.242758899676375,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
1920,"AVP",794.025,-801.825,963.4,-11.55,0,3.219075,2099.275,1185.625,-50.925,431.61,187.9,584.225,2506.075,302.05,968.975,0.5875,-11.175,3671.025,808.625,10706.625,15.125,17.175,1404.65,4569.675,1224.675,0,-0.05975,-1.2615,0,0,855.6075,0,0,17.86225,0,0,4855938.87346221,22.1570913884007,22.1672275922671,2.72938999051845,5.95335949809965,37.7141981079161,0.657496993492535,4.24748157904104,0.181575481436657,0.145522388059701,0.127835051546392,0.13953488372093,0.142414860681115,0.135353535353535,0.125799573560768,0.154676258992806,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.152985074626866,0.132382892057026,0.13034188034188,"1",NA
1932,"BTI",4706.1345,379.06275,1404.9095,437.00375,126.0935,12.831175,265.58175,3467.055,-83.09,972.8875,807.448,2684.8105,14454.8915,3834.9845,8680.02825,5.6475,1252.35375,15254.79275,0,24542.393,226.517,8.326,13001.654,3826.547,1513.882,0,0,0,0,0,0,0,0,0,0,0,125511.374477958,71.9330446403712,92.7013867053364,6.61901899554524,18.3793106702751,12.7371482320268,0.469147482906902,2.34589428006621,0.422192111096019,0.134328358208955,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
2390,"BRID",0.36825,-15.80475,12.0935,-1.8455,0,3.110825,9.3225,10.76975,-1.3965,9.20475,9.26175,0.13175,0.699,0.58075,2.68025,0.2825,0.19775,10.075,11.32875,123.069,0,0,28.65925,0,25.9725,0,0,-1.0525,0,0,-75,0,0,0,0,0,2660.59402460457,9.81802126537786,8.9281782513181,1.43936846695079,2.44859218079384,34.7540575765588,1.23357539909883,1.12673918542879,0.0910962429233145,0.122641509433962,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
2606,"CAGAQ",0.306,0,6.887,0.313,0,7.5936,3.56,1.621,0.062,4.616,4.616,5.906,20.6565,0,3.0335,0.215,0.119,26.916,15.8255,308.5945,0,0,35.052,0.04,13.5225,0,0,0,0,0,0,0,0,0,0,0,9955.94484760523,4.51032496371553,13.4053553701016,1.07838172,1.20562599461836,20.9782556451885,0.867678154097266,1.53811480086728,0.0281153714481342,0.122641509433962,0.127835051546392,0.134146341463415,0.131147540983607,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.127906976744186,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.13034188034188,"0",NA
2663,"CPB",211.5,-626,223.25,3,451.5,3.2337,340.75,351.5,87.5,320,18,1046.75,2230,374.5,1297.75,2.1925,5.5,6699.25,565,7788.5,0,107.5,1033.25,6025.75,-441,0,0,-3.90675,0,0,-1339.58325,0,0,-3.712,0,0,2077392.20826011,37.1945430579965,37.1712820738137,2.13994124300527,5.08018690596529,16.9644438120851,0.32031184508341,5.77256230341157,0.697072344543915,0.145522388059701,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.154676258992806,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.152985074626866,0.132382892057026,0.13034188034188,"0",NA
2710,"STZ",135,233.56,62.12,-77.14,978.42,15.78876,1762.14,106.78,10.16,200.7956,2.66,408.18,3697.26,0,653.12,3.548,208.56,2594.7,573.5,3402.98,21.94,85.34,3129.16,1230.34,1197.22,0,0,0.3868,0,0,255.3216,0,0,0,0,-2.8576,1056715.44727592,35.5447021968366,35.8664804920914,2.5223881,1,10.0182362448807,0.415988167249234,1.8321977783175,0.219528563576167,0.134328358208955,0.127835051546392,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.125,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.12655601659751,0.132382892057026,0.145390070921986,"0",NA
2812,"DOLE",768.323333333333,-79.5843333333333,211.368,-58.237,32.0336666666667,8.51403333333333,787.93,128.024666666667,-9.36366666666667,88.9173333333333,0.089,86.5023333333333,1572.69433333333,0,167.466333333333,-0.53,-10.0666666666667,-31.083,633.561666666667,6121.05266666667,0.350333333333333,0.607,782.577,0,896.88,0.00966666666666667,0,-20.6613333333333,0,0,-150.473333333333,0,0,-62.316,-0.0653333333333333,-62.7346666666667,798841.765010352,11.3412215320911,11.3457034161491,1.72704273,1,-21.3985311926247,0.619966219945411,4.43368554574608,-0.0597291597717115,0.145522388059701,0.150943396226415,0.134146341463415,0.142414860681115,0.135353535353535,0.125799573560768,0.154676258992806,0.126272912423625,0.142857142857143,0.128630705394191,0.127348643006263,0.152985074626866,0.142857142857143,0.145390070921986,"0",NA
