CustomerID,Gender,Age,EducationYears,JobCategory,EmploymentLength,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,MaritalStatus,HouseholdSize,HomeOwner,CommuteTime,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,WirelessData,DataLastMonth,DataOverTenure,Multiline,EBilling,LastMonthTotalValue,OverTenureTotalValue,TotalDebt,AverageMonthlyRevenue
3964-QJWTRG-NPN,Female,20,15,Professional,0,31000,11.1,1.200909,2.240091,Unmarried,3,0,22,5,19.5,34.4,Yes,29.5,126.1,No,0,0,Yes,No,49,160.5,3.441,32.1
0648-AIPJSP-UVM,Male,22,17,Sales,0,15000,18.6,1.22202,1.56798,Unmarried,2,1,29,39,26.7,330.6,Yes,54.85,1975,Yes,45.65,1683.55,Yes,Yes,127.19999999999999,3989.1499999999996,2.79,102.28589743589743
5195-TLUDJE-HVO,Female,67,14,Sales,16,35000,9.9,0.92862,2.53638,Married,3,1,24,65,85.2,1858.35,No,0,0,No,0,0,Yes,No,85.2,1858.35,3.465,28.59
4459-VLPQUH-3OL,Male,23,16,Sales,0,20000,5.7,0.0228,1.1172,Married,5,1,38,36,18,199.45,No,0,0,No,0,0,Yes,Yes,18,199.45,1.14,5.540277777777778
8158-SMTQFB-CNO,Male,26,16,Sales,1,23000,1.7,0.214659,0.176341,Married,4,0,32,21,9.15,74.1,No,0,0,Yes,19.05,410.8,No,No,28.200000000000003,484.9,0.391,23.09047619047619
9662-FUSYIM-1IV,Male,64,17,Service,22,107000,5.6,1.060584,4.931416,Unmarried,1,1,23,28,24.3,264.9,Yes,35.5,970.95,No,0,0,No,No,59.8,1235.85,5.991999999999999,44.137499999999996
7432-QKQFJJ-K72,Female,52,14,Professional,10,77000,1.9,0.501809,0.961191,Unmarried,1,0,32,15,11.4,44.8,No,0,0,No,0,0,No,No,11.4,44.8,1.463,2.9866666666666664
8959-RZWRHU-ST8,Female,44,16,Professional,11,97000,14.4,5.950368,8.017632,Married,2,1,31,46,44.55,612.7,No,0,0,No,0,0,Yes,No,44.55,612.7,13.968,13.319565217391306
9124-DZALHM-S6I,Female,66,12,Professional,15,16000,2.6,0.102336,0.313664,Unmarried,1,1,25,53,63.15,1074.35,No,0,0,No,0,0,Yes,No,63.15,1074.35,0.416,20.27075471698113
3512-MUWBGY-52X,Male,47,11,Labor,19,84000,4.1,1.770216,1.673784,Unmarried,2,1,29,3,10.95,20.05,No,0,0,No,0,0,No,No,10.95,20.05,3.444,6.683333333333334
5621-QSZPSF-NF2,Female,59,19,Professional,8,47000,8.6,1.358112,2.683888,Unmarried,1,0,17,50,25.65,446.55,Yes,31.2,1568.35,No,0,0,Yes,Yes,56.849999999999994,2014.8999999999999,4.042,40.297999999999995
8241-PWPONH-62O,Female,33,8,Sales,4,19000,0.9,0.130131,0.040869,Married,5,0,28,9,10.8,37,No,0,0,No,0,0,No,No,10.8,37,0.17099999999999999,4.111111111111111
8795-FYOXCT-P09,Male,44,10,Professional,12,73000,2.8,1.250928,0.793072,Unmarried,1,1,25,5,20.25,29.9,No,0,0,No,0,0,No,No,20.25,29.9,2.044,5.9799999999999995
1705-NMIQNO-IC4,Male,58,18,Professional,3,63000,10.5,1.924965,4.690035,Unmarried,1,1,16,58,36.3,680.75,No,0,0,No,0,0,Yes,No,36.3,680.75,6.615,11.737068965517242
9205-PAZEXY-90Q,Female,72,20,Agriculture,27,17000,9.8,1.276156,0.389844,Married,2,1,32,67,41.7,954.05,Yes,38.55,2580.75,No,0,0,Yes,Yes,80.25,3534.8,1.6660000000000001,52.758208955223886
4225-PZZDIY-IBH,Female,66,13,Labor,31,23000,9.3,0.934743,1.204257,Married,2,0,14,72,116.1,2854.9,No,0,0,Yes,43.25,3159.25,Yes,No,159.35,6014.15,2.139,83.5298611111111
0758-EQEGIQ-3OF,Female,57,17,Agriculture,24,171000,9.5,1.803195,14.441805,Married,3,1,19,48,12.45,214.85,Yes,43.15,1990.25,Yes,40.2,1840.45,No,Yes,95.8,4045.55,16.245,84.28229166666667
0649-TBFJFL-QU4,Male,63,14,Labor,29,424000,10.7,13.111352,32.256648,Married,2,1,29,70,104.4,2540.15,No,0,0,No,0,0,Yes,Yes,104.4,2540.15,45.367999999999995,36.28785714285714
2228-KOLOPU-FY3,Female,28,11,Professional,4,23000,4.8,0.190992,0.913008,Married,3,1,30,34,10.35,110.45,No,0,0,No,0,0,No,No,10.35,110.45,1.104,3.248529411764706
3853-NVDCOJ-TIN,Female,78,16,Professional,10,22000,15.2,0.692208,2.651792,Unmarried,1,0,23,14,21.9,85.6,Yes,24.85,341.75,No,0,0,Yes,Yes,46.75,427.35,3.344,30.525000000000002
0765-UXAFYM-PDR,Male,61,16,Professional,4,35000,10.1,1.233715,2.301285,Married,2,0,34,53,33.6,567.05,No,0,0,No,0,0,No,No,33.6,567.05,3.535,10.699056603773585
9937-SFPLRK-H9Y,Male,70,17,Sales,2,28000,9.3,1.195236,1.408764,Married,2,0,29,59,42.75,805.8,No,0,0,No,0,0,Yes,No,42.75,805.8,2.604,13.657627118644067
