"PROD_NBR","PROD_DESC","monthlySaleValue"
"90800000000","VITAMINS/SUPPLEMENTS",61922.12
"98650000000000185441572","STRUTZ PRO",20525.28
"35310020010","FLONASE OTC 60 SPRAYS .34 OZ",4537.31
"1626","TEGADERM 4X4 3/4 1626",3823.2
"30045044909","TYLENOL EXTRA STR CAPLET 100CT",3548.15
"70414200007","FLORASTOR 250MG CAPSULE 50CT",3383.96
"32420869762","PRESERVISION AREDS 2 FORM SOFTGEL 120CT",2995.21
"30766080100","ABREVA CREAM 2GM",2567.56
"35310020020","FLONASE OTC 120 SPRAYS .54OZ",2551.18
"36382407214","MUCINEX DM MAX STRENGTH TABLET 14CT",2327.3
"4110082073","MIRALAX POWDER 14 DAY 8.3OZ",2300.25
"31254720436","ZYRTEC OTC 10MG TABLET 30CT",2284.01
"36382400820","MUCINEX EXPECTORANT TABLET 20CT",2159.91
"36382405620","MUCINEX DM TABLET 20CT",2137.92
"36382400840","MUCINEX EXPECTORANT TABLET 40CT",1998.27
"8770140516","GNP LORATADIN 24HR 10 MG TAB 30",1912.39
"30045020424","ZYRTEC D PSE 12HR TABLET 24CT",1895.52
"8770140503","GNP ALLERGY 24HR CETIR TAB 30CT",1879.08
"3504600117","ACIDOPHILUS SUPER PROBIO 5BILLN CAP 60CT",1875.12
"30045044905","TYLENOL EXTRA STR CAPLET 24CT",1753.2
"8770140606","GNP STOOL SFT 100MG SFTGL 100",1728.58
"4110081088","CLARITIN D OTC 24HR TABLET PSE 15CT",1701.26
"35128516288","PLAN B ONE-STEP OTC 1.5MG TAB 1CT",1650.08
"3600038531","DEPEND UNDERWEAR WMN MAXABS LARGE 4X17CT",1527.11
"74574901781","VSL#3 PROBIOTIC CAPSULE 60CT",1486.48
"36382402314","MUCINEX MAX STRENGTH TABLET 14CT",1473.96
"36382405640","MUCINEX DM TABLET 40CT",1322.11
"4110082071","MIRALAX POWDER 30 DAY 17.9OZ",1321.3
"30573245028","NEXIUM 24HR OTC 20MG CAPSULE 28CT",1306.52
"30573245042","NEXIUM 24HR OTC 20MG CAPSULE 42CT",1293.84
"4116758003","NASACORT OTC 60 SPRAYS 0.37OZ",1280.58
"8770140412","GNP OMEPRAZOL 20 MG TAB 42",1277.69
"8770140653","GNP ALLERGY 10MG CETIR TAB 90",1275.47
"30766080155","ABREVA CREAM PUMP 2GM",1264.67
"30065401105","ZADITOR OTC DRY EYE DROP 5ML",1228.98
"36382405718","MUCINEX D PSE TABLET 18CT",1220.06
"64193220212","GLOVE VINYL P/F L/F MD GLV 100",1202.74
"4116743207","ALLEGRA D 24HR 180MG TABLET 15CT PSE CHT",1196.42
"36382404124","MUCINEX D MAX STRENGTH PSE TABLET 24CT",1180.17
"30573245014","NEXIUM 24HR OTC 20MG CAPSULE 14CT",1178.32
"8770140411","GNP OMEPRAZOL 20 MG TAB 28",1164.99
"8770140843","GNP PROBIOTIC 4X CAP 28",1156.73
"30045019204","MOTRIN CHILD SUSPENSION BERRY 4OZ",1147.73
"3700014343","ALIGN CAPSULE 28CT",1140.13
"30045048101","MOTRIN IB CAPLET 100CT",1139.57
"31284353637","BAYER ASPIRIN LO DOSE REGMN TABLET 120CT",1101.06
"8770160105","GNP SUPHEDRIN TAB 24",1092.6
"36382407228","MUCINEX DM MAX STRENGTH E/R TAB 28CT",1081.17
"8770140446","GNP U/PAD SPR 30X36 PAD 4X10",1065.6
"4116741251","ALLEGRA OTC 24HR 180MG TABLET 30CT CHT",1062.81
"30573018021","ADVIL COLD SINUS CAPLET PSE 40CT",1049.34
"4116758005","NASACORT OTC 120 SPRAYS 0.57OZ",1049.24
"30573018010","ADVIL COLD SINUS CAPLET PSE 20CT",1031.71
"73942366048","FLORAJEN3 CAPSULE 60CT",1030.16
"8770140586","GNP CLEAR LAX PWD 8.3 OZ",1018.23
"30065143105","SYSTANE ULTRA DRY EYE DROP 10ML",1017.92
"8770179265","GNP SENNA PLUS TAB 60",1014.2
"4116743104","ALLEGRA D 12HR 60MG CAPLET 20CT PSE CHT",1008.35
"36382417563","DELSYM 12HR COUGH ORANGE 3OZ",1003.42
"8770140852","GNP FEXOFENAD HCL 180MG TAB 30",1001.13
"36761810160","COLACE 100MG CAPSULE 60CT",967.58
"4910036374","CULTURELLE CAPSULE NATURAL HEALTH 30CT",962.49
"98930000000000752447293","VITAMINS",954.45
"4910040009","CULTURELLE CAPSULE DIGESTIVE HEALTH 30CT",939.53
"30045012304","TYLENOL CHILD SUSPNSION CHERRY LIQ 120ML",936.08
"32390000361","VAPORUB JAR 50GM",929.52
"64193220213","GLOVE VINYL P/F L/F LG GLV 100",929.45
"31254717031","BENADRYL ULTRATAB 24CT",917.58
"8770140517","GNP LORATADIN 24HR 10 MG TAB 90",908.44
"4110080319","CLARITIN D 12HR TABLET 30CT",899.15
"4116743205","ALLEGRA D 24HR 180MG TABLET 10CT PSE CHT",893.33
"85406500211","PINE BROS THROAT DROP BAG CHERRY 32CT",890.76
"30766142020","NICODERM CQ 21MG PATCH CLEAR 14CT",859.47
"30573015040","ADVIL TABLET 100CT",846.08
"73112411001","BIOFREEZE PAIN RELIEF GEL TUBE 4OZ",839.77
"3700035905","PRILOSEC OTC TABLET 14CT",838.48
"30045049660","TYLENOL REGULAR STR TABLET 100CT",833.86
"30573016930","ADVIL LIQUIGEL 40CT",830.87
"3700035906","PRILOSEC OTC TABLET 28CT",824.24
"8770196346","GNP TUSSIN DM SYR 8 OZ",816.49
"30045029604","TYLENOL CHILD SUSPENSION GRAPE LIQ 120ML",814.8
"4110081092","CLARITIN 10MG 24HR TABLET 30CT",811.1
"8770140719","GNP FEXOFENAD HCL 180MG TAB 45",803.5
"74687600040","CALMOSEPTINE OINTMENT 4OZOZ",797.31
"30573016940","ADVIL LIQUIGEL 80CT",784.14
"4116741312","ALLEGRA OTC 12HR 60MG TABLET 12CT CHT",782.36
"8770153929","GNP ASPIRIN 81 MG EC TAB 300",777.91
"8770140021","GNP MUCUS RLF TAB 50",776.42
"4110081086","CLARITIN D OTC 24HR 10MG TAB PSE 10CT",775.94
"36761810130","COLACE 100MG CAPSULE 30CT",775.7
"8770140399","GNP ALLERGY 24HR CETIR TAB 14CT",768.29
"8770140836","GNP ASPIRIN 81MG LD ADL TAB 120",762.42
"4203710478","DEBROX EAR WAX REMOVAL DROPS 0.5 OZ",760.2
"35058072638","ZYRTEC OTC 10MG 45CT",755.62
"7431202610","ACIDOPHILUS PROBIOTIC TAB 120CT NAT BNTY",752.65
"7431217621","VIT D 2000IU GELTAB 100CT NAT BOUNTY",746
"8770140102","GNP MUCUS RLF DM TAB 50",744.03
"8770140607","GNP STOOL SFT 100MG CAP 60",737.24
"4110008016","CLARITIN 24HR TABLET 10CT",732.53
"3700035907","PRILOSEC OTC TABLET 42CT",730.29
"30573016920","ADVIL LIQUIGEL 20CT",724.74
"4116741238","ALLEGRA OTC 24HR 180MG TABLET 15CT CHT",716.98
"30573015030","ADVIL TABLET 50CT",687.51
"68142103103","ZANTAC 150 TABLET 24CT",687.34
"2260090125","FIRST RESPONSE PREG TEST ANALOG 2CT",685.34
"8770174602","GNP SENNA TAB 100",684.93
"8770140410","GNP OMEPRAZOL 20 MG TAB 14",682.08
"73942344048","FLORAJEN3 CAPSULE 30CT",675.73
"4910040008","CULTURELLE KIDS PACKET 30CT",674.99
"8770190058","GNP NON-ASPRN 325 MG TAB 100",673.91
"32390001442","DAYQUIL COLD FLU LIQUICAP 16CT",671.91
"8770142629","GNP ADVANCED PROBIOTIC CAPLET 60CT",668.99
"8770140808","GNP ACIDOPHIL PROB BLND CAP 100",660.07
"8770183714","GNP DIPHEDRYL TAB 100",654.49
"70592800200","SINUS RINSE REFILL PACKET 100CT",650.33
"8770197945","GNP NON ASP X/S CPL 100",645.74
"30573301003","THERMACARE 8HR BACK XLARGE 2CT",643.87
"30045021212","IMODIUM MULTI SYMPTOM CAPLET 12CT",643.68
"32420846530","OCUVITE MULTIVIT 50+ SOFTGEL 50CT",641.49
"30081073087","NEOSPORIN OINTMENT 1OZ",641.47
"4110008018","CLARITIN 24HR TABLET 20CT",640.97
"30065042915","SYSTANE DRY EYE DROP 15ML",639.37
"4110080604","CLARITIN 10MG 24HR REDITAB 30CT",637.2
"8770140515","GNP LORATADIN 24HR 10 MG TAB 10",636.25
"3700029417","ALIGN CAPSULE 42CT",629.03
"8770156469","GNP TUSSIN DM EXP 4 OZ",627.73
"35058053404","BENADRYL KIDS ALLERGY LIQ CHERRY 4OZ",625.33
"8770140239","GNP EPSOM SALT PWD 6X4 LB",622.2
"34658110040","SALONPAS PLASTER 10X40CT",620.04
"85032300601","BRONKAID ASTHMA CAPLET 60CT",613.36
"7431215606","VIT D-3 1000MG SOFTGEL 250CT NAT BOUNTY",611.01
"81483201043","LUDENS BAG CHERRY 30CT",605.5
"3504600219","VIT D3 2000IU SOFTGEL 100CT WINDMILL",603.81
"68142102001","DULCOLAX 5MG TABLET 10CT",602.86
"7431219377","VIT D 5000IU SOFTGEL 150CT NAT BOUNTY",601.52
"31254662869","HALLS BAG HONEY LEMON 30CT",600.68
"8770191090","GNP SUPHEDRIN TAB 96",594.62
"4116743106","ALLEGRA D 12HR 60MG TABLET 30CT PSE CHT",592.61
"8770140244","GNP MAG CIT LEMN LIQ 12X10 OZ",590
"8770140718","GNP FEXOFENAD HCL 180MG TAB 15",589.47
"3600033591","POISE PAD MAXIMUM LONG 4X39CT",587.36
"8770183623","GNP DIPHEDRYL CAP 100",586.16
"4116705820","ASPERCREME WITH LIDOCAINE CREAM 2.7OZ",585.34
"64786510001","AIRBORNE TABLET ORANGE 10CT",584.8
"32586610504","ALEVE CAPLET 50CT",582.86
"7631430203","EMERGEN-C VIT C 1000MG ORANGE 30CT",582.63
"30085360101","CORICIDIN HBP COUGH COLD TABLET 16CT",580.27
"73112411000","BIOFREEZE PAIN RELIEF ROLL-ON 3OZ",579.01
"3600038532","DEPEND UNDERWEAR WMN MAXABS XL 4X15CT",578.86
"85406500210","PINE BROS THROAT DROP BAG HONEY 32CT",578.5
"8770191676","GNP IBUPROFEN 200 MG TAB 100",576.77
"36382417163","DELSYM 12HR COUGH GRAPE 3OZ",576.45
"30045021218","IMODIUM MULTI SYMPTOM CAPLET 18CT",576.18
"30904505324","SUDOGEST 30MG TABLET PSE 24CT MAJOR",573.62
"8770155389","GNP BACITR ZINC ONT 1 OZ",572.31
"36382401866","MUCINEX DM FAST MAX LIQUID 6OZ",570.11
"30045018404","MOTRIN CHILD SUSPENSION DYE FR BERRY 4OZ",569.88
"30023324015","REFRESH OPTIVE DROP 0.5OZ",569.73
"32420827715","MURO-128 5% CORNEAL EDEMA DROP 15ML",569.1
"30573016040","ADVIL CAPLET 100CT",567.02
"30081073088","NEOSPORIN OINTMENT 0.5OZ",564.34
"30031873812","ROBITUSSIN PEAK COLD DM MAX CGH/CONG 4OZ",560.77
"2260002915","SIMPLY SALINE MIST ORIGINAL 1.5OZ",560.32
"7431215605","VITAMIN D3 1000IU SFTGL 120CT NAT BOUNTY",559.77
"30005417758","CENTRUM SILVER TABLET 150CT",558.47
"30573018810","ADVIL ALLERGY SINUS CAPLET PSE 20CT",554.27
"8770140898","GNP SUPHEDRIN 12HR 120MG CAP 20",554.09
"8770141285","GNP NICOTINE MINT SF 2MG LOZ 72",552.46
"4110080217","CLARITIN D 12HR TABLET 20CT",548.61
"36749210411","CALMOL 4 HEMORRHOIDAL SUPPOSITORIES 24CT",548.39
"4110082076","MIRALAX POWDER 7 DAY 4.1OZ",548.32
"4110080743","CORICIDIN HBP CHEST CONGEST CGH SGC 20CT",547.92
"30023066704","REFRESH PM OINTMENT 3.5GM",547.65
"8770140751","GNP VIT D 2000 IU TAB 100",544.61
"8770155390","GNP TRP ANTIB ONT 1 OZ",544.34
"7431231644","PROBIOTIC 10 ADV CAPSULE 60CT NAT BNTY",543.69
"36382417565","DELSYM 12HR COUGH ORANGE 5OZ",542.84
"70414200024","FLORASTOR 250MG CAPSULE 20CT",541.64
"8770194584","GNP TRP ANTIB M/S W/PRAM ONT 1 OZ",540.74
"35865750004","CODEINE-GUAIF 2-20 MG SOL 120 ML",538.38
"36382401465","MUCINEX FAST MAX SEVERE COUGH CONGES 6OZ",534.16
