"PHRMCY_NBR","PHRMCY_NAM","PHRMCY_NBR_SALES_REVENUE"
"4416100399456673861","GNP PHARMACY #453",1131363.75
"61520549788616420","GNP PHARMACY #680",434791.5
"6991356705459241502","GNP PHARMACY #795",381645.93
"1174450154022548624","GNP PHARMACY #18",380014.91
"2487426938853675539","GNP PHARMACY #200",372104.11
"3009693108150153253","GNP PHARMACY #269",370536.73
"2759406693434064370","GNP PHARMACY #232",326267.26
"8506230257184703229","GNP PHARMACY #990",307931.23
"9201518331233084207","GNP PHARMACY #1090",216061.73
"2230913098736515247","GNP PHARMACY #166",205123.28
