"PHRMCY_NBR","PHRMCY_NAM","PHRMCY_NBR_SALES_REVENUE"
"2109913237959930897","GNP PHARMACY #150",100
"1864727887909581358","GNP PHARMACY #116",151.77
"2557779967183367219","GNP PHARMACY #211",223.84
"7352666603740569574","GNP PHARMACY #835",497.99
"767790889581973829","GNP PHARMACY #881",1033.71
"7020056645499029586","GNP PHARMACY #800",1662.63
"4474219946559825502","GNP PHARMACY #458",1907.68
"8932873020424827010","GNP PHARMACY #1053",2490.51
"6456621789121903095","GNP PHARMACY #725",3814.41
"8146743720163240233","GNP PHARMACY #942",4013.77
"2460130771898242917","GNP PHARMACY #196",4770.99
"8677693298569082488","GNP PHARMACY #1018",5669.71
"6364167247454749996","GNP PHARMACY #713",5880.61
"4754955394504903019","GNP PHARMACY #500",5885.92
"3204676104489970153","GNP PHARMACY #297",6306.13
"3345685190491575411","GNP PHARMACY #313",8643.84
"7872808829300808721","GNP PHARMACY #902",8801.38
"764099535963137341","GNP PHARMACY #876",8962.81
"70747829806253866","GNP PHARMACY #807",9302.02
"7055791495512548111","GNP PHARMACY #806",9377.82
"4886484396774680920","GNP PHARMACY #519",9908.46
"2575309149457743538","GNP PHARMACY #214",10314.65
"8928776363931148827","GNP PHARMACY #1052",10352.78
"7200625234151567527","GNP PHARMACY #817",11007.95
"4325879497219228989","GNP PHARMACY #445",11462.18
"6604838632739747334","GNP PHARMACY #744",11884.37
"3158887248488841791","GNP PHARMACY #286",12415.33
"8052359801190788504","GNP PHARMACY #926",12549.96
"2976459779189671635","GNP PHARMACY #265",12987.62
"6502343755926797562","GNP PHARMACY #728",13240.54
"4891864721469098224","GNP PHARMACY #521",13624.81
"8878731394084111849","GNP PHARMACY #1044",15165.7
"4718332406572191897","GNP PHARMACY #499",15722.03
"6213729021448070995","GNP PHARMACY #692",16575.66
"4698246445582728895","GNP PHARMACY #497",17123.56
"5508721620183361501","GNP PHARMACY #594",17520.26
"2511059609531482950","GNP PHARMACY #205",17644
"2099303152335823135","GNP PHARMACY #147",20760.09
"8114477086937302611","GNP PHARMACY #936",22243.73
"3873375626339507834","GNP PHARMACY #380",22381.11
"5659999083754400594","GNP PHARMACY #618",23685.87
"754973176064150934","GNP PHARMACY #866",24829.2
"798474486276147573","GNP PHARMACY #911",27250.05
"8336411877253781150","GNP PHARMACY #964",30314.6
"6227369197500125942","GNP PHARMACY #695",30779.44
"943521724712761855","GNP PHARMACY #1092",30940.67
"3984982254424372364","GNP PHARMACY #389",31637.2
"2488659078079761866","GNP PHARMACY #201",32354.57
"2073949932443767576","GNP PHARMACY #143",32776.78
"748613589991092598","GNP PHARMACY #860",33198.86
"7438161233787664756","GNP PHARMACY #856",33906.24
"6614856386769859646","GNP PHARMACY #747",34841.12
"8018619403036959589","GNP PHARMACY #920",37713.87
"7649542013018470402","GNP PHARMACY #877",37932.51
"1571515534661781510","GNP PHARMACY #75",39909.74
"4371270051895018428","GNP PHARMACY #448",40978.85
"438383275400888569","GNP PHARMACY #451",41790.85
"1089389175785588555","GNP PHARMACY #8",43569.51
"2090966447983750424","GNP PHARMACY #146",44888.76
"5574324683520357059","GNP PHARMACY #610",45190.91
"6362142750666151279","GNP PHARMACY #712",47783.68
"6101710632963616773","GNP PHARMACY #667",48056.05
"1360787588063411417","GNP PHARMACY #46",48441.62
"2129220559599037741","GNP PHARMACY #153",50644.7
"113751725732539219","GNP PHARMACY #12",53559.03
"2472638319502974631","GNP PHARMACY #198",57976.87
"8110635868389689207","GNP PHARMACY #935",63116.75
"3731993184735052220","GNP PHARMACY #361",63731.76
"6454152494331309252","GNP PHARMACY #724",63941.81
"657046048504326744","GNP PHARMACY #739",64268.79
"5561081505743719577","GNP PHARMACY #607",67871.07
"3269396384942674828","GNP PHARMACY #307",68142.67
"8406638142603383888","GNP PHARMACY #977",69999.55
"369543268004438562","GNP PHARMACY #355",71369.61
"2841806224023075344","GNP PHARMACY #244",72283.12
"2868502752642236304","GNP PHARMACY #249",75399.12
"4034866639250086099","GNP PHARMACY #395",78530.59
"1086060348872350015","GNP PHARMACY #7",80390.85
"8606004816967009534","GNP PHARMACY #1008",80553.17
"1788270894846039662","GNP PHARMACY #102",88918.34
"5464072734544936345","GNP PHARMACY #588",98116.26
"6364931877932088810","GNP PHARMACY #714",108439.02
"5717345452458098205","GNP PHARMACY #625",109410.78
"644366764593749034","GNP PHARMACY #721",110333.34
"6433375196252832585","GNP PHARMACY #719",114420.19
"3389348191242360921","GNP PHARMACY #319",115640.41
"1841593177282919617","GNP PHARMACY #110",121712.3
"5618981026642252409","GNP PHARMACY #612",124026.26
"536719232234314822","GNP PHARMACY #578",124399.05
"7999580510622165484","GNP PHARMACY #914",127220.36
"6693249847611302957","GNP PHARMACY #759",143499.62
"6633796339379494880","GNP PHARMACY #750",153778.25
"3241946627864485090","GNP PHARMACY #305",159057.76
"7003025686214903268","GNP PHARMACY #798",166121.89
"3216540913770909647","GNP PHARMACY #300",183507.49
"6206629577829703560","GNP PHARMACY #690",191564.19
"2230913098736515247","GNP PHARMACY #166",205123.28
"9201518331233084207","GNP PHARMACY #1090",216061.73
"8506230257184703229","GNP PHARMACY #990",307931.23
"2759406693434064370","GNP PHARMACY #232",326267.26
"3009693108150153253","GNP PHARMACY #269",370536.73
"2487426938853675539","GNP PHARMACY #200",372104.11
"1174450154022548624","GNP PHARMACY #18",380014.91
"6991356705459241502","GNP PHARMACY #795",381645.93
"61520549788616420","GNP PHARMACY #680",434791.5
"4416100399456673861","GNP PHARMACY #453",1131363.75
"1017330163607345979","GNP PHARMACY #1",NA
"1041420479647471411","GNP PHARMACY #2",NA
"1048827871928328746","GNP PHARMACY #3",NA
"1057348283119436343","GNP PHARMACY #4",NA
"1058510257734865632","GNP PHARMACY #5",NA
"1081439579592602433","GNP PHARMACY #6",NA
"1092260723523702002","GNP PHARMACY #9",NA
"1121291098695239882","GNP PHARMACY #10",NA
"1127802158199509414","GNP PHARMACY #11",NA
"1138751154350733720","GNP PHARMACY #13",NA
"1139356123247980453","GNP PHARMACY #14",NA
"1142078113077542449","GNP PHARMACY #15",NA
"1148969088727497933","GNP PHARMACY #16",NA
"1167918778638125970","GNP PHARMACY #17",NA
"1190144978370571924","GNP PHARMACY #19",NA
"1191199736461399273","GNP PHARMACY #20",NA
"1194407567927942133","GNP PHARMACY #21",NA
"1195333683993082880","GNP PHARMACY #22",NA
"1199705136261897466","GNP PHARMACY #23",NA
"1212060521919412339","GNP PHARMACY #24",NA
"1212478553512220927","GNP PHARMACY #25",NA
"1218588692793290095","GNP PHARMACY #26",NA
"1221078716599670116","GNP PHARMACY #27",NA
"122787575062186696","GNP PHARMACY #28",NA
"1236695155984831842","GNP PHARMACY #29",NA
"1249256380449141560","GNP PHARMACY #30",NA
"1250412923501748872","GNP PHARMACY #31",NA
"1250790798800258235","GNP PHARMACY #32",NA
"1259251080859862612","GNP PHARMACY #33",NA
"1281704954923499201","GNP PHARMACY #34",NA
"1297463205330104723","GNP PHARMACY #35",NA
"1305556910798405707","GNP PHARMACY #36",NA
"130603028221658466","GNP PHARMACY #37",NA
"1307702414832812145","GNP PHARMACY #38",NA
"1312677011544121744","GNP PHARMACY #39",NA
"132134496758518783","GNP PHARMACY #40",NA
"1324895405562516765","GNP PHARMACY #41",NA
"1329047598975131622","GNP PHARMACY #42",NA
"1341357980083956276","GNP PHARMACY #43",NA
"1354271919160429818","GNP PHARMACY #44",NA
"1358383802381295416","GNP PHARMACY #45",NA
"1364923068827464494","GNP PHARMACY #47",NA
"1377518451589671313","GNP PHARMACY #48",NA
"1391686484968816395","GNP PHARMACY #49",NA
"1396734714545026179","GNP PHARMACY #50",NA
"1399220627773444202","GNP PHARMACY #51",NA
"1407451326401936578","GNP PHARMACY #52",NA
"1407881542296665922","GNP PHARMACY #53",NA
"141453388388839310","GNP PHARMACY #54",NA
"1416315397094610646","GNP PHARMACY #55",NA
