"PROD_NBR","PROD_DESC","salesRevenue"
"99100000770330000000003","MONEY ORDER",783415.11
"99100000234116000000009","MONEYGRAM",256943.5
"91000000000","LOTTO",221578.73
"90900000000","STAMPS",36012.17
"81460502007","INST LOTTERY 100X THE CASH $20",20680
"79936677762","GIFT CARD VISA $20-$500",20356.2
"81460502031","INST LOTTERY CASH EXTRA $30",19350
"99100000561909000000920","GIFT CERTIFICATE",17760.3
"118","INST LOTTERY WIN FOR LIFE $1",15669
"81460502017","INST LOTTERY ALL CASH MILL $20",13760
"98650000000000613899425","GIFT CARDS",13109.3
"1564568900","BOOK 20 STAMPS",12581
"81460502027","INST LOTTERY 50X THE CASH $10",12070
"40015008662","INST LOTTERY CASH EXTRA $30",11760
"7675007063","MASTER CARD",11230.7
"999010000000015","LOTTO DEPARTMENT KEY",10619
"1564568050","FLAG STAMPS",9616.4
"7675007062","MASTERCRD$50",7967.75
"79936670109","GIFT CARD VISA $50",7693
"99100000360959000000016","PREPAID CARD",7378.22
"81460502018","INST LOTTERY LUCKY CASH $5",6360
"40015008683","INST LOTTERY $2.500 FRENZY $10",6150
"91500000000","UPS",6091.04
"99000000000000237480639","MONEY ORDER",5348.82
"40014008320","INST LOTTERY CASH SPECT $10",5240
"1564568060","BOOK OF 20 STAMPS",4979.6
"7675007061","MASTERCARD GFTCRD$25",4689.9
"81460502015","INST LOTTERY 500K WINFALL $10",4610
"79936669878","VISA GIFT CARD $25",4081.95
"98930000000000315922627","SHIPPING",3856.28
"81460502016","INST LOTTERY BIG MONEY SPEC $2",3852
"40014008479","INST LOTTERY LOTERIA $3",3798
"81460502003","INST LOTTERY WILD CASH BON $10",3430
"40014008573","INST LOTTERY 20,000 PAYDAY $20",3260
"81460502002","INST LOTTERY WILD CASH $5",3145
"79936653722","GIFT CARD AMAZON $50.00",2800
"40015008663","INST LOTTERY SPR CSH SPEC $5",2780
"40013008221","INST LOTTERY WIN FOR LIFE $5",2350
"99100000081989000000040","STAMPS",2224.5
"40010001034","SHIPPING COST",2130.18
"8012700007","UPS SHIPPING",1747.33
"7675013515","GIFT CARD-VERIZON $50",1500
"40015008682","INST LOTTERY $500 FRNZY 2ND $5",1380
"79936653721","GIFT CARD AMAZON $25",1275
"7675004299","BARNES& NOBLE $25 GC",1225
"7675006912","VISA",1165.45
"88590991984","ITUNES 50",1150
"7675010430","KOHLS $25 GIFT CARD",1075
"81460502011","INST LOTTERY SEASON'S GOLD $10",1020
"88590953623","ITUNES $50.00 CG",800
"88590953621","ITUNES $15 GIFT CARD",435
"1564568020","PEANUTS STAMPS BOOK",333.2
"81460502008","INST LOTTERY HOLIDAY CHEER $1",320
"98930000000000025615477","STAMPS",292.54
"1564568890","20 FOREVER STAMPS",254.8
"1714402617","MILLIONAIRE GLD FOIL",39.98
